Country Code (ISO3),macro_impact,physical_volume,type,physical_unit,Country Name,gdp2022,relative impact
CIV,162174262.10469407,16641.60392294526,animal,1000 heads,Cote d'Ivoire,70173140101.4315,0.0023110589303867533
CMR,942967644.043882,27938.854454231263,animal,1000 heads,Cameroon,43644068310.851,0.021605860327402998
COD,164405464.98909667,9151.905605453492,animal,1000 heads,Congo,65801547619.5974,0.0024985045327434287
COG,30230988.762257524,1939.4379040489196,animal,1000 heads,Congo,15817030156.9459,0.001911293615949886
COL,9228534081.615074,117399.88178,animal,1000 heads,Colombia,345329875078.512,0.026723821909462462
CPV,41096236.037862085,1258.1812196655274,animal,1000 heads,Cabo Verde,2303738020.15148,0.017838936406128263
CRI,1257867919.9993818,16260.973559326172,animal,1000 heads,Costa Rica,69243626028.5936,0.018165829725323098
CUB,700781524.9949828,15251.73378125,animal,1000 heads,Cuba,,
CYP,369246755.37994593,2494.029984893799,animal,1000 heads,Cyprus,29250532020.0746,0.012623591089780261
CZE,512004991.09484583,2175.40637067252,animal,1000 heads,Czechia,290565654835.809,0.0017620974212666886
DEU,15950678374.687878,62866.88775739999,animal,1000 heads,Germany,4082469490797.68,0.003907115144557088
DJI,10351401.849304419,152.38370034383237,animal,1000 heads,Djibouti,3674298479.07676,0.002817245770383198
DMA,11158753.298234485,236.725984375,animal,1000 heads,Dominica,607159259.259259,0.01837862657624342
DNK,1651764599.0599248,5958.426591796875,animal,1000 heads,Denmark,400167196948.707,0.004127686156323419
DOM,1401889168.850982,97679.31070315551,animal,1000 heads,Dominican Republic,113537368176.13,0.012347381231140021
DZA,2851926006.3878307,43365.1603927002,animal,1000 heads,Algeria,225560256621.757,0.012643743401880582
ECU,3350093928.913504,129892.84217050002,animal,1000 heads,Ecuador,116586000000.0,0.028734958990903746
EGY,10076630315.091429,86877.376134,animal,1000 heads,Egypt,476747720364.742,0.02113618982253795
ERI,82067006.44803545,1758.5963629150392,animal,1000 heads,Eritrea,,
ESP,10018392577.049173,63472.6368217,animal,1000 heads,Spain,1417800466262.65,0.007066151278295072
EST,239457099.26294053,880.0160749511718,animal,1000 heads,Estonia,37921480881.5429,0.006314550320725708
ETH,2897869889.4318757,66294.1377216797,animal,1000 heads,Ethiopia,126772703047.701,0.022858784420976563
FIN,249243362.25378326,606.84103847872,animal,1000 heads,Finland,281887430795.721,0.0008841946643389206
FRA,6983951819.531627,39634.911594818,animal,1000 heads,France,2779092236505.85,0.0025130334746688875
GAB,38161383.53856463,3055.387552228838,animal,1000 heads,Gabon,21071739227.9422,0.0018110220103692576
GBR,8225974502.31373,58279.876856760005,animal,1000 heads,United Kingdom,3088839763445.02,0.002663127624703718
GEO,345549177.4126781,4006.1799940499996,animal,1000 heads,Georgia,24984568959.605,0.013830503859056417
GHA,243022595.23318753,20312.01753338623,animal,1000 heads,Ghana,74263364041.8742,0.003272442588194047
GIN,456769105.42403114,19488.800259643554,animal,1000 heads,Guinea,20999229260.4995,0.021751708110698827
GMB,31232463.988775887,1202.746768310547,animal,1000 heads,Gambia,2175099789.97829,0.014359094756331903
GNB,49179967.5928785,1656.6192678222656,animal,1000 heads,Guinea-Bissau,1714166526.44573,0.02869030915849909
GNQ,2412314.201342057,343.4308237304687,animal,1000 heads,Equatorial Guinea,13486788878.9757,0.00017886497838655782
GRC,2024029353.2953095,22206.5906342,animal,1000 heads,Greece,217581324512.059,0.009302403861334763
GRD,10351487.457877912,298.396,animal,1000 heads,Grenada,1224577777.77778,0.00845310738584737
GTM,1868134074.8656626,22798.4674785,animal,1000 heads,Guatemala,95003330315.8754,0.019663879872993156
