Country Code (ISO3),Country Code (M49),Animal,heads_on_PA,total_heads,total volume
GIN,324,Dk,152116.59375,382312.5,
GIN,324,Gt,1182446.375,2674374.8,132365083.466
GIN,324,Ho,1284.764404296875,3307.0664,
GIN,324,Pg,57439.7421875,120343.59,16031353.14
GIN,324,Sh,984592.875,2227975.5,89841941.46
GNB,624,Bf,0.0,0.0,
GNB,624,Ch,588999.8125,2025948.2,13147721.74
GNB,624,Ct,200678.0,693250.9,60919422.762666665
GNB,624,Dk,0.0,81.07469,
GNB,624,Gt,231340.4375,768366.4,10236299.71
GNB,624,Ho,830.43408203125,2299.1455,
GNB,624,Pg,91506.3984375,457871.66,43430461.9596
GNB,624,Sh,142280.03125,477729.44,10157788.008
GUY,328,Bf,2.0766113,2.0766113,
GUY,328,Ch,14586982.0,24937908.0,166642499.4773077
GUY,328,Ct,76127.94,111776.375,37829643.37
GUY,328,Dk,835.3597,835.3597,
